zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
10199,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1,0
10271,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0
10278,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0
10279,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,,0
10280,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1,0.053
10282,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1,0.032
11004,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1,0.074
11005,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1,0.01
11101,36081,x,04101,Queens,1,Astoria & Long Island City,Astoria,0.603,0.088
11102,36081,x,04101,Queens,1,Astoria & Long Island City,Astoria,1,0.196
11103,36081,x,04101,Queens,1,Astoria & Long Island City,Astoria,0.995,0.222
11104,36081,x,04109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,1,0.203
11105,36081,x,04101,Queens,1,Astoria & Long Island City,Astoria,1,0.211
11106,36081,x,04101,Queens,1,Astoria & Long Island City,Astoria,1,0.223
11109,36081,x,04109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,1,0.026
11351,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,,0
11354,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1,0.221
11355,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1,0.346
11356,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1,0.094
11357,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,1,0.158
11358,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,0.617,0.093
11359,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,,0
11360,36081,x,04103,Queens,7,"Flushing, Murray Hill & Whitestone",Flushing/Whitestone,0.784,0.06
11361,36081,x,04104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1,0.245
11362,36081,x,04104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1,0.153
11363,36081,x,04104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,1,0.06
11364,36081,x,04104,Queens,11,"Bayside, Douglaston & Little Neck",Bayside/Little Neck,0.998,0.295
11365,36081,x,04106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.747,0.205
11366,36081,x,04106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,1,0.088
11367,36081,x,04106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.903,0.241
11368,36081,x,04107,Queens,4,Elmhurst & South Corona,Elmhurst/Corona,0.528,0.397
11369,36081,x,04102,Queens,3,Jackson Heights & North Corona,Jackson Heights,1,0.211
11370,36081,x,04102,Queens,3,Jackson Heights & North Corona,Jackson Heights,0.556,0.12
11371,36081,x,04102,Queens,3,Jackson Heights & North Corona,Jackson Heights,,0
11372,36081,x,04102,Queens,3,Jackson Heights & North Corona,Jackson Heights,0.998,0.363
11373,36081,x,04107,Queens,4,Elmhurst & South Corona,Elmhurst/Corona,0.874,0.603
11374,36081,x,04108,Queens,6,Forest Hills & Rego Park,Rego Park/Forest Hills,0.972,0.379
11375,36081,x,04108,Queens,6,Forest Hills & Rego Park,Rego Park/Forest Hills,1,0.614
11377,36081,x,04109,Queens,2,Sunnyside & Woodside,Sunnyside/Woodside,0.898,0.602
11378,36081,x,04110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,0.995,0.204
11379,36081,x,04110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,1,0.204
11385,36081,x,04110,Queens,5,"Ridgewood, Glendale & Middle Village",Middle Village/Ridgewood,1,0.579
11411,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.973,0.096
11412,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.952,0.15
11413,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.831,0.171
11414,36081,x,04113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1,0.212
11415,36081,x,04111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1,0.135
11416,36081,x,04111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,0.971,0.169
11417,36081,x,04113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,0.959,0.225
11418,36081,x,04111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1,0.253
11419,36081,x,04113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,0.513,0.196
11420,36081,x,04113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1,0.359
11421,36081,x,04111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,1,0.274
11422,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1,0.161
11423,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.753,0.102
11424,36081,x,04111,Queens,9,Richmond Hill & Woodhaven,Ozone Park/Woodhaven,,0
11426,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,1,0.093
11427,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.667,0.083
11428,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.983,0.1
11429,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
